('Павлов Л.Р.', 'Семёнова Ч.Э.', 707, '2020-1-21')
('Никитина Ч.Ф.', 'Николаева Ц.Ф.', 805, '2020-1-2')
('Кузнецова Щ.К.', 'Яковлев Ю.А.', 82, '2020-10-5')
('Соколов А.Д.', 'Дмитриев Л.В.', 166, '2020-2-19')
('Яковлев Е.Д.', 'Степанова Х.Р.', 955, '2020-2-14')
('Богданов У.М.', 'Павлов Ю.Ю.', 332, '2020-6-18')
('Кузнецова Ч.Х.', 'Михайлова Р.А.', 325, '2020-5-25')
('Александров А.К.', 'Степанова Д.К.', 205, '2020-5-13')
('Кузнецова И.Т.', 'Степанова Х.Р.', 239, '2020-8-26')
('Соколов А.Д.', 'Семёнова Ч.Э.', 536, '2020-4-26')
('Соколова Ф.Х.', 'Николаева Ц.Ф.', 394, '2020-10-15')
('Павлов Л.Р.', 'Степанова Д.К.', 294, '2020-11-28')
('Кузнецова П.Я.', 'Григорьева Б.С.', 206, '2020-10-5')
('Соколова Ф.Х.', 'Алексеева В.Ш.', 781, '2020-7-7')
('Петрова З.В.', 'Яковлев Ю.А.', 845, '2020-4-28')
('Иванова Л.Э.', 'Николаева Щ.Э.', 705, '2020-7-23')
('Андреева Ц.В.', 'Николаева Щ.Э.', 946, '2020-1-4')
('Егоров Д.Е.', 'Михайлова Р.А.', 748, '2020-11-2')
('Павлова М.З.', 'Степанова Д.К.', 957, '2020-2-27')
('Семёнов У.А.', 'Александрова П.П.', 675, '2020-8-30')
('Соколова Ф.Х.', 'Яковлев Ю.А.', 641, '2020-6-8')
('Егоров Д.Е.', None, 569, '2020-11-15')
('Васильев Е.З.', 'Александров Щ.Ю.', 638, '2020-5-4')
('Кузнецова Ч.Х.', 'Лебедев Ч.Ж.', 31, '2020-11-8')
('Васильева М.Ц.', 'Соловьёв Ц.П.', 752, '2020-4-12')
('Лебедева У.Л.', 'Александров Щ.Ю.', 712, '2020-1-21')
('Николаева Р.Ц.', 'Яковлев Щ.Р.', 164, '2020-1-29')
('Соколов А.Д.', 'Егорова Я.У.', 797, '2020-4-10')
('Павлова Ж.Ж.', 'Дмитриев Л.В.', 838, '2020-4-28')
('Михайлов Ф.И.', 'Алексеев Х.В.', 531, '2020-6-10')
('Кузнецова Ч.Х.', 'Алексеев Х.В.', 742, '2020-11-13')
('Кузнецов Т.Д.', 'Егоров Л.Б.', 86, '2020-5-9')
('Кузнецова И.Т.', 'Александрова П.П.', 278, '2020-10-17')
('Алексеева С.Ю.', 'Алексеев Х.В.', 918, '2020-9-26')
('Соловьёва П.З.', 'Яковлев Щ.Р.', 955, '2020-9-16')
('Дмитриева Л.Ч.', 'Михайлова Р.А.', 477, '2020-8-2')
('Дмитриев Щ.В.', 'Степанова Х.Р.', 554, '2020-5-16')
('Павлова Ж.Ж.', 'Николаева Ц.Ф.', 87, '2020-2-11')
('Смирнов Т.Т.', 'Михайлова Р.А.', 429, '2020-4-11')
('Соловьёва П.З.', 'Григорьева Б.С.', 861, '2020-1-4')
('Дмитриева Л.Ч.', 'Васильева К.И.', 568, '2020-10-3')
('Григорьев Л.Ж.', 'Павлов Ю.Ю.', 19, '2020-7-6')
('Васильев Е.З.', 'Васильева К.И.', 319, '2020-5-18')
('Яковлев Н.К.', 'Николаева Щ.Э.', 792, '2020-7-25')
('Павлов Д.Х.', 'Алексеева В.Ш.', 524, '2020-1-30')
('Яковлев Н.К.', 'Михайлова Р.А.', 451, '2020-7-30')
('Лебедев П.Д.', 'Дмитриев Л.В.', 202, '2020-5-23')
('Яковлев Е.Д.', None, 508, '2020-1-3')
('Волков Ж.Б.', 'Егоров Л.Б.', 996, '2020-2-20')
('Александров Х.В.', 'Григорьева Б.С.', 553, '2020-1-17')
('Григорьева Я.Г.', 'Николаева Щ.Э.', 909, '2020-6-23')
('Смирнов А.Я.', 'Лебедев Ч.Ж.', 289, '2020-9-24')
('Кузнецова Щ.К.', 'Григорьева Б.С.', 903, '2020-9-20')
('Кузнецов Д.С.', 'Яковлев Щ.Р.', 528, '2020-5-18')
('Егоров З.И.', 'Лебедев Ч.Ж.', 488, '2020-1-27')
('Соколов З.Ю.', 'Алексеева В.Ш.', 622, '2020-1-25')
('Дмитриева Ф.Ш.', 'Степанова Х.Р.', 863, '2020-12-11')
('Яковлев Б.Р.', 'Степанова Д.К.', 848, '2020-9-9')
