('Степанова Е.Ж.', 'Лебедев П.У.', 'Ижевск', 'Соловьёв Ц.П.')
('Соколов А.Д.', 'Егоров Д.Е.', 'Архангельск', 'Семёнова Ч.Э.')
('Соколов А.Д.', 'Иванов Ф.И.', 'Архангельск', 'Семёнова Ч.Э.')
('Павлов Я.Т.', 'Иванов Р.Э.', 'Барнаул', 'Степанова Д.К.')
('Смирнов А.Я.', 'Александров Ч.Т.', 'Севастополь', 'Александров Щ.Ю.')
('Михайлова Е.Б.', 'Богданова И.Б.', 'Омск', 'Николаева Щ.Э.')
('Михайлова Е.Б.', 'Лебедев Ю.Н.', 'Омск', 'Николаева Щ.Э.')
('Иванова Л.Э.', 'Никитин Я.Х.', 'Краснодар', 'Алексеева В.Ш.')
('Алексеева К.Ч.', 'Петрова Ч.З.', 'Севастополь', 'Михайлова Р.А.')
('Алексеева К.Ч.', 'Семёнов П.А.', 'Севастополь', 'Михайлова Р.А.')
('Александров Ц.А.', 'Николаев Т.Б.', 'Омск', 'Яковлев Щ.Р.')
('Соколов Ш.М.', 'Васильева Н.П.', 'Ижевск', 'Степанова Х.Р.')
('Соколов Ш.М.', 'Смирнов Г.Д.', 'Ижевск', 'Степанова Х.Р.')
('Дмитриева Л.Ч.', 'Павлова Н.Ф.', 'Омск', 'Соловьёв Ц.П.')
('Иванов В.Р.', 'Егорова Т.Ф.', 'Мурманск', 'Михайлова Р.А.')
('Иванов В.Р.', 'Михайлов Ч.Е.', 'Мурманск', 'Михайлова Р.А.')
('Иванов В.Р.', 'Николаева Б.М.', 'Мурманск', 'Михайлова Р.А.')
('Алексеева Д.З.', 'Яковлев Е.Ш.', 'Мурманск', 'Семёнова Ч.Э.')
('Кузнецова И.Т.', 'Васильева У.Л.', 'Москва', 'Яковлев Ю.А.')
('Кузнецова И.Т.', 'Иванова Д.Х.', 'Москва', 'Яковлев Ю.А.')
('Богданова Б.В.', 'Дмитриева Ю.Ю.', 'Иркутск', 'Степанова Х.Р.')
('Богданова Б.В.', 'Кузнецова Щ.Ж.', 'Иркутск', 'Степанова Х.Р.')
('Богданова Б.В.', 'Павлов М.К.', 'Иркутск', 'Степанова Х.Р.')
('Богданова Б.В.', 'Соловьёв Н.О.', 'Иркутск', 'Степанова Х.Р.')
('Васильев Е.У.', 'Михайлов Е.Р.', 'Омск', 'Алексеева В.Ш.')
('Соколова Е.У.', 'Павлова Ш.Т.', 'Краснодар', 'Яковлев Щ.Р.')
('Соколова Е.У.', 'Степанов М.З.', 'Краснодар', 'Яковлев Щ.Р.')
('Николаева Р.Ц.', 'Никитина З.Б.', 'Краснодар', 'Егоров Л.Б.')
('Смирнов О.Я.', 'Степанова Е.Т.', 'Краснодар', 'Александров Щ.Ю.')
('Яковлев Е.Д.', 'Лебедев С.Ш.', 'Москва', 'Григорьева Б.С.')
('Смирнов З.Ц.', 'Соколова М.Э.', 'Архангельск', 'Лебедев Ч.Ж.')
('Смирнов З.Ц.', 'Соловьёва У.И.', 'Архангельск', 'Лебедев Ч.Ж.')
('Алексеева С.Ю.', 'Степанов С.Я.', 'Мурманск', 'Николаева Щ.Э.')
('Кузнецова Ч.Х.', 'Николаева Щ.Ф.', 'Мурманск', 'Степанова Х.Р.')
('Кузнецова Ч.Х.', 'Степанова Б.З.', 'Мурманск', 'Степанова Х.Р.')
('Кузнецова Ч.Х.', 'Степанова Г.И.', 'Мурманск', 'Степанова Х.Р.')
('Волкова Ф.Ш.', 'Павлов П.Щ.', 'Омск', 'Семёнова Ч.Э.')
('Соловьёв Т.Т.', 'Васильева Т.Е.', 'Ижевск', 'Александрова П.П.')
('Соловьёв Т.Т.', 'Павлова Р.Я.', 'Ижевск', 'Александрова П.П.')
('Соловьёв Т.Т.', 'Петров Д.Е.', 'Ижевск', 'Александрова П.П.')
('Соловьёв Т.Т.', 'Фёдорова П.О.', 'Ижевск', 'Александрова П.П.')
